name,location,rating,review_count,price,categories,coordinates,latitude,longitude
San Tung,"1031 Irving St San Francisco, CA 94122",4.0,6749,$$,Chinese,"{'latitude': 37.763693, 'longitude': -122.469008}",37.763693,-122.469008
Hunan Home's Restaurant,"622 Jackson St San Francisco, CA 94133",4.0,2130,$$,Chinese,"{'latitude': 37.7964057922363, 'longitude': -122.405654907227}",37.7964057922363,-122.405654907227
Kung Food,"1615 McAllister St San Francisco, CA 94115",4.0,505,$$,Chinese,"{'latitude': 37.7776557732483, 'longitude': -122.438782954299}",37.7776557732483,-122.438782954299
Sam Wo Restaurant,"713 Clay St San Francisco, CA 94108",3.5,1036,$,Chinese,"{'latitude': 37.7942543029785, 'longitude': -122.405113220215}",37.7942543029785,-122.405113220215
Cheung Hing,"2339 Noriega St San Francisco, CA 94122",4.0,646,$,Chinese,"{'latitude': 37.75343, 'longitude': -122.48892}",37.75343,-122.48892
Mr Szechuan,"890 Taraval St San Francisco, CA 94116",4.5,200,$$,Chinese,"{'latitude': 37.74331, 'longitude': -122.47544}",37.74331,-122.47544
Dumpling Kitchen,"1935 Taraval St San Francisco, CA 94116",4.0,1488,$$,Chinese,"{'latitude': 37.7423, 'longitude': -122.48701}",37.7423,-122.48701
Dragon Beaux,"5700 Geary Blvd San Francisco, CA 94121",4.0,1507,$$,Chinese,"{'latitude': 37.780504, 'longitude': -122.480709}",37.780504,-122.480709
Chang's Kitchen,"1030 Irving St San Francisco, CA 94122",4.0,542,$$,Chinese,"{'latitude': 37.76417, 'longitude': -122.46905}",37.76417,-122.46905
M.Y. China,"845 Market St Ste 480 San Francisco, CA 94103",3.5,1642,$$,Chinese,"{'latitude': 37.784236, 'longitude': -122.406566}",37.784236,-122.406566
Hai Ky Noodles,"707 Ellis St San Francisco, CA 94109",4.5,935,$,Chinese,"{'latitude': 37.7840538024902, 'longitude': -122.417953491211}",37.7840538024902,-122.417953491211
Jiangnan Cuisine,"3420 Balboa St San Francisco, CA 94121",4.5,213,$$,Chinese,"{'latitude': 37.77603, 'longitude': -122.49559}",37.77603,-122.49559
New Fortune Restaurant,"815 Stockton St San Francisco, CA 94108",4.5,77,$,Chinese,"{'latitude': 37.79335, 'longitude': -122.40801}",37.79335,-122.40801
Sichuan Home,"5037 Geary Blvd San Francisco, CA 94118",4.0,450,$$,Chinese,"{'latitude': 37.7804022, 'longitude': -122.4736572}",37.7804022,-122.4736572
MaMa Ji's,"4416 18th St San Francisco, CA 94114",4.0,738,$$,Chinese,"{'latitude': 37.7607584141734, 'longitude': -122.438729188523}",37.7607584141734,-122.438729188523
Begoni Bistro,"615 Jackson St San Francisco, CA 94133",4.0,722,$$,Chinese,"{'latitude': 37.7960017591324, 'longitude': -122.405549436808}",37.7960017591324,-122.405549436808
Good Luck Dim Sum,"736 Clement St San Francisco, CA 94118",4.0,1576,$,Chinese,"{'latitude': 37.7830772399902, 'longitude': -122.46720123291}",37.7830772399902,-122.46720123291
Heung Yuen Restaurant,"3279 22nd St San Francisco, CA 94110",4.0,280,$,Chinese,"{'latitude': 37.7552018, 'longitude': -122.4203735}",37.7552018,-122.4203735
Dong Bei Mama,"4737 Geary Blvd San Francisco, CA 94118",4.0,386,$$,Chinese,"{'latitude': 37.78044, 'longitude': -122.47032}",37.78044,-122.47032
Yummy Yummy,"1015 Irving St San Francisco, CA 94122",4.0,1402,$$,Chinese,"{'latitude': 37.76368, 'longitude': -122.46879}",37.76368,-122.46879
The House,"1230 Grant Ave San Francisco, CA 94133",4.5,4764,$$$,Chinese,"{'latitude': 37.79851, 'longitude': -122.40706}",37.79851,-122.40706
